is_notre_dame,is_opponent,id,first_name,last_name,middle_name,suffix,created_at,updated_at
"false","true","131","'Clark'","'Shaughnessy'","''","null","'2021-09-23T01:17:31.996114+00:00'","'2021-09-23T01:17:31.996114+00:00'"
"false","true","132","'Claude'","'Simons'","''","null","'2021-09-23T01:17:31.996114+00:00'","'2021-09-23T01:17:31.996114+00:00'"
"false","true","133","'Clay'","'Helton'","''","null","'2021-09-23T01:17:31.996114+00:00'","'2021-09-23T01:17:31.996114+00:00'"
"false","true","134","'Clem'","'Crowe'","''","null","'2021-09-23T01:17:31.996114+00:00'","'2021-09-23T01:17:31.996114+00:00'"
"false","true","135","'Clyde'","'Smith'","''","null","'2021-09-23T01:17:31.996114+00:00'","'2021-09-23T01:17:31.996114+00:00'"
"false","true","136","'Coach'","'Atwood'","''","null","'2021-09-23T01:17:31.996114+00:00'","'2021-09-23T01:17:31.996114+00:00'"
"false","true","137","'Coach'","'Gage'","''","null","'2021-09-23T01:17:31.996114+00:00'","'2021-09-23T01:17:31.996114+00:00'"
"false","true","138","'Coach'","'Howe'","''","null","'2021-09-23T01:17:31.996114+00:00'","'2021-09-23T01:17:31.996114+00:00'"
"false","true","139","'Coach'","'Jacobs'","''","null","'2021-09-23T01:17:31.996114+00:00'","'2021-09-23T01:17:31.996114+00:00'"
"false","true","140","'D.'","'Pickett'","''","null","'2021-09-23T01:17:31.996114+00:00'","'2021-09-23T01:17:31.996114+00:00'"
"false","true","141","'D.H.'","'Jackson'","''","null","'2021-09-23T01:17:31.996114+00:00'","'2021-09-23T01:17:31.996114+00:00'"
"false","true","142","'D.M.'","'Balliet'","''","null","'2021-09-23T01:17:31.996114+00:00'","'2021-09-23T01:17:31.996114+00:00'"
"false","true","143","'Dabo'","'Swinney'","''","null","'2021-09-23T01:17:31.996114+00:00'","'2021-09-23T01:17:31.996114+00:00'"
"false","true","144","'Dan'","'Henning'","''","null","'2021-09-23T01:17:31.996114+00:00'","'2021-09-23T01:17:31.996114+00:00'"
"false","true","145","'Dan'","'Reed'","''","null","'2021-09-23T01:17:31.996114+00:00'","'2021-09-23T01:17:31.996114+00:00'"
"false","true","146","'Dan'","'Savage'","''","null","'2021-09-23T01:17:31.996114+00:00'","'2021-09-23T01:17:31.996114+00:00'"
"false","true","147","'Danny'","'Ford'","''","null","'2021-09-23T01:17:31.996114+00:00'","'2021-09-23T01:17:31.996114+00:00'"
"false","true","148","'Danny'","'Hope'","''","null","'2021-09-23T01:17:31.996114+00:00'","'2021-09-23T01:17:31.996114+00:00'"
"false","true","149","'Darrell'","'Hazell'","''","null","'2021-09-23T01:17:31.996114+00:00'","'2021-09-23T01:17:31.996114+00:00'"
